0114928,"White Man's Burden ",1995,"Desmond Nakano", "5.2"
0114938,"Wild Bill ",1995,"Walter Hill", "5.9"
0114952,"Wings of Courage ",1995,"Jean-Jacques Annaud", "6.5"
0115012,"Yao a yao, yao dao wai po qiao ",1995,"Yimou Zhang", "7.2"
0115033,"The Young Poisoner's Handbook ",1995,"Benjamin Ross", "7.1"
0115639,"Beautiful Girls ",1996,"Ted Demme", "7.2"
0115644,"Bed of Roses ",1996,"Michael Goldenberg", "6.1"
0115645,"Before and After ",1996,"Barbet Schroeder", "6.1"
0115676,"Big Bully ",1996,"Steve Miner", "4.6"
0115683,"Bio-Dome ",1996,"Jason Bloom", "4.4"
0115685,"The Birdcage ",1996,"Mike Nichols", "7.0"
0115697,"Black Sheep ",1996,"Penelope Spheeris", "6.2"
0115734,"Bottle Rocket ",1996,"Wes Anderson", "7.0"
0115759,"Broken Arrow ",1996,"John Woo", "6.0"
0115907,"City Hall ",1996,"Harold Becker", "6.2"
0116126,"Don't Be a Menace to South Central While Drinking Your Juice in the Hood ",1996,"Paris Barclay", "6.6"
0116130,"Down Periscope ",1996,"David S. Ward", "6.1"
0116151,"Dunston Checks In ",1996,"Ken Kwapis", "5.3"
0116260,"Eye for an Eye ",1996,"John Schlesinger", "6.2"
0116324,"Flirting with Disaster ",1996,"David O. Russell", "6.8"
0116367,"From Dusk Till Dawn ",1996,"Robert Rodriguez", "7.3"
0116483,"Happy Gilmore ",1996,"Dennis Dugan", "7.0"
0116606,"If Lucy Fell ",1996,"Eric Schaeffer", "4.9"
0116731,"The Juror ",1996,"Brian Gibson", "5.6"
0116839,"Lawnmower Man 2: Beyond Cyberspace ",1996,"Farhad Mann", "2.4"
0117002,"Mary Reilly ",1996,"Stephen Frears", "5.8"
0117102,"Mr. Wrong ",1996,"Nick Castle", "3.8"
0117110,"Muppet Treasure Island ",1996,"Brian Henson, David Lane", "7.0"
0117169,"New York Undercover Cop ",1993,"Tôru Murakawa", "4.2"
0117427,"Race the Sun ",1996,"Charles T. Kanganis", "5.4"
0118002,"Two If by Sea ",1996,"Bill Bennett", "5.2"
0118040,"Unforgettable ",1996,"John Dahl", "6.0"
0118055,"Up Close & Personal ",1996,"Jon Avnet", "6.1"
0118158,"White Squall ",1996,"Ridley Scott", "6.6"
